#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=8 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2285 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:32.36 aq:19.14 tex:66984 mv:43386 misc:278 imb:8160 pmb:0 smb:0 d:- ref:;
in:2 out:1 type:P dur:2 cpbdur:2 q:32.52 aq:19.89 tex:14460 mv:14071 misc:4701 imb:949 pmb:924 smb:6287 d:- ref:0 ;
in:1 out:2 type:b dur:2 cpbdur:2 q:32.52 aq:22.14 tex:3053 mv:1562 misc:1929 imb:71 pmb:286 smb:7803 d:- ref:0 ;
in:6 out:3 type:P dur:2 cpbdur:2 q:32.41 aq:21.19 tex:46794 mv:28217 misc:3093 imb:2620 pmb:1028 smb:4512 d:- ref:0 ;
in:4 out:4 type:B dur:2 cpbdur:2 q:32.46 aq:22.02 tex:22998 mv:23379 misc:4719 imb:745 pmb:1778 smb:5637 d:- ref:0 ;
in:3 out:5 type:b dur:2 cpbdur:2 q:32.49 aq:22.04 tex:11473 mv:15261 misc:4698 imb:356 pmb:1393 smb:6411 d:- ref:0 ;
in:5 out:6 type:b dur:2 cpbdur:2 q:32.43 aq:24.39 tex:24184 mv:20419 misc:3733 imb:529 pmb:1469 smb:6162 d:- ref:0 ;
in:10 out:7 type:P dur:2 cpbdur:2 q:32.12 aq:20.38 tex:74870 mv:29406 misc:1836 imb:3552 pmb:622 smb:3986 d:- ref:0 ;
in:8 out:8 type:B dur:2 cpbdur:2 q:32.26 aq:22.09 tex:17536 mv:15913 misc:4687 imb:422 pmb:1408 smb:6330 d:- ref:0 ;
in:7 out:9 type:b dur:2 cpbdur:2 q:32.34 aq:23.24 tex:21970 mv:21398 misc:4792 imb:718 pmb:1578 smb:5864 d:- ref:0 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:32.19 aq:24.68 tex:10032 mv:10569 misc:4047 imb:244 pmb:1006 smb:6910 d:- ref:0 ;
in:14 out:11 type:P dur:2 cpbdur:2 q:31.89 aq:21.09 tex:96506 mv:32881 misc:1893 imb:3457 pmb:786 smb:3917 d:- ref:0 ;
in:12 out:12 type:B dur:2 cpbdur:2 q:32.01 aq:22.26 tex:31460 mv:26235 misc:4809 imb:991 pmb:1704 smb:5465 d:- ref:0 ;
in:11 out:13 type:b dur:2 cpbdur:2 q:32.07 aq:23.16 tex:15447 mv:13901 misc:4548 imb:278 pmb:1509 smb:6373 d:- ref:0 ;
in:13 out:14 type:b dur:2 cpbdur:2 q:31.95 aq:26.31 tex:21133 mv:20837 misc:4382 imb:662 pmb:1385 smb:6113 d:- ref:0 ;
in:18 out:15 type:P dur:2 cpbdur:2 q:31.72 aq:21.97 tex:52240 mv:31095 misc:2937 imb:2660 pmb:1228 smb:4272 d:- ref:0 ;
in:16 out:16 type:B dur:2 cpbdur:2 q:31.81 aq:21.12 tex:18997 mv:20722 misc:5265 imb:504 pmb:1761 smb:5895 d:- ref:0 ;
in:15 out:17 type:b dur:2 cpbdur:2 q:31.85 aq:19.93 tex:2065 mv:2059 misc:2972 imb:24 pmb:707 smb:7429 d:- ref:0 ;
in:17 out:18 type:b dur:2 cpbdur:2 q:31.76 aq:21.07 tex:1384 mv:1341 misc:1827 imb:20 pmb:350 smb:7790 d:- ref:0 ;
in:20 out:19 type:P dur:2 cpbdur:2 q:31.48 aq:22.46 tex:53574 mv:33092 misc:2686 imb:2551 pmb:1315 smb:4294 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:31.60 aq:21.61 tex:1029 mv:666 misc:1377 imb:4 pmb:230 smb:7926 d:- ref:0 ;
